driver_name,normalized_driver_name,dp_drivers_pack_extended_sinks_signed_timeout300_run1,dp_drivers_pack_extended_sinks_signed_timeout300_run1_time_taken,dp_drivers_pack_extended_sinks_signed_timeout300_run1_handle_leak_count,dp_drivers_pack_extended_sinks_signed_timeout300_run1_handle_exposure_count,dp_drivers_pack_extended_sinks_signed_timeout300_run1_rw_primitive_count
108B.sys,108b.sys,,4.20834493637085,0,0,0
108B_VIRO_PLUS.sys,108b_viro_plus.sys,,4.262918472290039,0,0,0
ABKOB1000R.sys,abkob1000r.sys,,4.0200300216674805,0,0,0
ABKOCH60.sys,abkoch60.sys,,4.130886077880859,0,0,0
ACTIVhidmini.sys,activhidmini.sys,,5.064804792404175,0,0,0
ADS1299_MIO4_x64.sys,ads1299_mio4.sys,no sinks found,6.476806163787842,0,0,0
AE1200w7.sys,ae1200w7.sys,,3.96909499168396,0,0,0
AE1200w764.sys,ae1200w7.sys,,3.8877110481262207,0,0,0
AGV.sys,agv.sys,,3.9495348930358887,0,0,0
AKCCID.sys,akccid.sys,timeout,300.27814269065857,0,0,0
AKCCID_1.sys,akccid_1.sys,timeout,300.2469787597656,0,0,0
AKPEE5UA.sys,akpee5ua.sys,,3.6484286785125732,0,0,0
AKPEE5UA_1.sys,akpee5ua_1.sys,,3.7708754539489746,0,0,0
AMBFilt.sys,ambfilt.sys,no sinks found,53.44911789894104,0,0,0
AMBFilt_1.sys,ambfilt_1.sys,no sinks found,43.55857014656067,0,0,0
AMBFt64.sys,ambft.sys,no sinks found,10.80263066291809,0,0,0
AMBFt64_1.sys,ambft64_1.sys,timeout,300.0262944698334,0,0,0
AMDCIR.sys,amdcir.sys,no sinks found,4.6204893589019775,0,0,0
AMDCIR64.sys,amdcir.sys,timeout,300.01004695892334,0,0,0
AMDPCIDev.sys,amdpcidev.sys,timeout,300.09907507896423,0,0,0
AMDRyzenMasterDriver.sys,amdryzenmasterdriver.sys,timeout,300.04378294944763,0,0,0
AMDXgbe.sys,amdxgbe.sys,,3.195195198059082,0,0,0
AMS-MailBoxDrv.sys,ams-mailboxdrv.sys,,3.415367364883423,0,0,0
ANXUcmCxCD.sys,anxucmcxcd.sys,,3.5090978145599365,0,0,0
